Tx;Time;Msg Type;Amount;Amount / 100;Asset;ToAddress;Administrator;FromAddress;;Asset;;;;;Total Tx
A3B1BF0BF43437836FD76E95DF3E342C8C2B5550032659914FE0A41B53628615;2022-07-22T19:03:19.986Z;/provenance.marker.v1.MsgWithdrawRequest;625000;6250;cfigureomni;pb15eh9q3v9d6peh4vetgkrq7mehsf7p7ppj9j4ws;pb13p3fe2ydk7p6q9th5gl5ha4vmnz3ztpheqmkvz;undefined;;bobacoin;;;;;1
79F1301F44A8EEFD377B96872C9F059E428BA32CD1C91C972E3ECB0F3342973D;2022-07-22T19:28:23.933Z;/provenance.marker.v1.MsgWithdrawRequest;758500;7585;cfigureomni;pb1mn466padfszxg25yze0m5fplulgn46fslh38vj;pb13p3fe2ydk7p6q9th5gl5ha4vmnz3ztpheqmkvz;undefined;;BOBASWAP;;;;;2
459DBC08D5002302DB4573C853BD81F5A364B027C771A7BD9B3AFB3F07348D10;2022-07-22T10:06:35.567Z;/provenance.marker.v1.MsgWithdrawRequest;63132;631,32;cfigurepayomni;pb1a0vk7850ruwdvjav2nd899ftf4j2m52d56dhj0;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;bobaswap;;;;;2
48388268235D8D1117750D49C856C9815AF6D0CD74AA0AD2CA03902DFD447D24;2022-07-22T16:05:25.313Z;/provenance.marker.v1.MsgWithdrawRequest;153539;1535,39;cfigurepayomni;pb1dwv5svgtlalf2ssrh0jdsl0qql38cz0pw9qa0t;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;cfigurelendingomni;;;;;322
48378F387FEF5F63A279A95E7FA233DC066F4D01FE7A9DAA9E019077448BA2AE;2022-07-22T15:59:01.884Z;/provenance.marker.v1.MsgWithdrawRequest;38788000;387880;csynergyoneomni;pb1pg7gy8nnkuxdzz8dypt5vapkz92cl8lax7qjvg;pb1a4szdl2kwr6d26nue63eptcuzq0gmn9557p8hl;undefined;;cfigureomni;;;;;2674
61FF9F6C7D67BC83C4944EA835154FA5373C3F6DB8FA70D94E7A02DF61EB6698;2022-07-22T15:58:56.480Z;/provenance.marker.v1.MsgWithdrawRequest;81260765;812607,65;cguaranteedrateomni;pb1ue8c6wvts6dmshrqf0f7jlrzss90fswf6rrsek;pb1ez7yl9ae9wkx8w40ugpr7zdzalgm88he6g26ps;undefined;;cfigurepaydebt;;;;;1060
E7212ECF1E2A67D442CB9AD5DB656AE32C68CE24EC416CDE29380737EA65686D;2022-07-22T10:06:58.769Z;/provenance.marker.v1.MsgWithdrawRequest;9;0,09;cfigurepayomni;pb19vau9cuwf9cje6xmyq2qvf83jcc4a56u5esvsy;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;cfigurepayomni;;;;;5893
F8999023E138FC25ED3D5BDA626972765B68431371FAF4E8F322E7E0E8DC6434;2022-07-22T16:58:17.199Z;/provenance.marker.v1.MsgWithdrawRequest;135777619;1357776,19;chomebridgeomni;pb1jlkx797ys6h9dadtlehgapp5lpzne89c2rprs3;pb1lp3xr3uezqu5hnrl6ws04jhuzlmxrw2g3wumnf;undefined;;cguaranteedrateomni;;;;;49
CFFEA2E43D5C4437C389A760FF4B252564528A3A9DB121DD02DD59D48AC697F4;2022-07-22T13:17:41.593Z;/provenance.marker.v1.MsgWithdrawRequest;285;2,85;cfigurepaydebt;pb1w8040tdlzmy552alcjysyg24amf963x46dqv56;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;undefined;;chomebridgeomni;;;;;106
CFFEA2E43D5C4437C389A760FF4B252564528A3A9DB121DD02DD59D48AC697F4;2022-07-22T13:17:41.593Z;/cosmos.bank.v1beta1.MsgSend;285;2,85;cfigurepayomni;pb1ksfxlh23kk28lpf07ql0e9genwhv3y6upaa4lr;undefined;pb1zpqjcy3943ut0gfcmseavxd4jqnj4g4w4gevx0;;chomepointomni;;;;;62
CCDC5A96A5F7D84D1EEADC2DB651C2BFA3DAFEAE1A4112475974C0BB2A2D9A41;2022-07-22T10:07:05.449Z;/provenance.marker.v1.MsgWithdrawRequest;16128;161,28;cfigurepayomni;pb1lcxcw86nylg6lj7peyxgqry9a0wvczxllfewt8;pb1g2m2vp59amxd0hp5502e22hp0yprujd23z4qah;undefined;;csynergyoneomni;;;;;121
